Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Mario Kart Wii,Wii,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
3,Wii Sports Resort,Wii,Sports,Nintendo,15.75,11.01,3.28,2.96,33
4,Wii Play,Wii,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
5,New Super Mario Bros. Wii,Wii,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
6,Wii Fit,Wii,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
7,Wii Fit Plus,Wii,Sports,Nintendo,9.09,8.59,2.53,1.79,22
8,Call of Duty: Black Ops 3,PS4,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
9,Super Smash Bros. Brawl,Wii,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
10,Grand Theft Auto V,PS4,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
11,Super Mario Galaxy,Wii,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
12,Just Dance 3,Wii,Misc,Ubisoft,6.05,3.15,0,1.07,10.26
13,Just Dance 2,Wii,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
14,FIFA 16,PS4,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
15,Wii Party,Wii,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
16,Mario Party 8,Wii,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
17,The Sims 3,PC,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11
18,Mario & Sonic at the Olympic Games,Wii,Sports,Sega,2.58,3.9,0.66,0.91,8.06
19,Super Mario Galaxy 2,Wii,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
20,Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
21,Call of Duty: Advanced Warfare,PS4,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
22,The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
23,Call of Duty: Black Ops 3,XOne,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
24,Just Dance,Wii,Misc,Ubisoft,3.51,3.03,0,0.73,7.27
25,Fallout 4,PS4,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
26,Just Dance 4,Wii,Misc,Ubisoft,4.14,2.21,0,0.56,6.91
27,Zumba Fitness,Wii,Sports,505 Games,3.5,2.64,0,0.67,6.81
28,FIFA 15,PS4,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
29,Donkey Kong Country Returns,Wii,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
30,World of Warcraft,PC,Role-Playing,Activision,0.07,6.21,0,0,6.28
31,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,3.66,1.63,0,0.53,5.83
32,Destiny,PS4,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
33,Diablo III,PC,Role-Playing,Activision,2.43,2.15,0,0.62,5.2
34,Call of Duty: Advanced Warfare,XOne,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
35,Microsoft Flight Simulator,PC,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12
36,Grand Theft Auto V,XOne,Action,Take-Two Interactive,2.66,2.01,0,0.41,5.08
37,Link's Crossbow Training,Wii,Shooter,Nintendo,3.06,1.18,0.29,0.46,5
38,StarCraft II: Wings of Liberty,PC,Strategy,Activision,2.56,1.68,0,0.59,4.83
39,FIFA 17,PS4,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
40,Animal Crossing: City Folk,Wii,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
41,Guitar Hero III: Legends of Rock,Wii,Misc,Activision,3.06,1.12,0,0.44,4.62
42,Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,1.89,1.99,0.22,0.48,4.58
43,The Last of Us,PS4,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
44,Uncharted: The Nathan Drake Collection,PS4,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
45,Michael Jackson: The Experience,Wii,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
46,Halo 5: Guardians,XOne,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
47,Warcraft II: Tides of Darkness,PC,Strategy,Activision,1.7,2.27,0,0.23,4.21
48,Uncharted 4: A Thief's End,PS4,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
49,Watch Dogs,PS4,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14
50,Half-Life,PC,Shooter,Vivendi Games,4.03,0,0.09,0,4.12
51,The Legend of Zelda: Skyward Sword,Wii,Action,Nintendo,2.14,1.2,0.37,0.4,4.1
52,Carnival Games,Wii,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1
53,Fallout 4,XOne,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09
54,World of Warcraft: The Burning Crusade,PC,Role-Playing,Activision,2.57,1.52,0,0,4.09
55,Far Cry 4,PS4,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03
56,Minecraft,PS4,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
57,EA Sports Active,Wii,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92
58,Assassin's Creed: Unity,PS4,Action,Ubisoft,1.18,1.96,0.08,0.7,3.92
59,The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,1.15,2.09,0,0.64,3.88
60,NBA 2K16,PS4,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69,3.85
61,Big Brain Academy: Wii Degree,Wii,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82
62,Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79
63,Mario & Sonic at the London 2012 Olympic Games,Wii,Sports,Sega,1.14,1.91,0.27,0.46,3.78
64,Just Dance 2014,Wii,Misc,Ubisoft,1.98,1.47,0,0.32,3.76
65,The Sims: Unleashed,PC,Simulation,Electronic Arts,2.03,1.56,0,0.17,3.76
66,Super Paper Mario,Wii,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76
67,The Witcher 3: Wild Hunt,PS4,Role-Playing,Namco Bandai Games,0.96,2,0.21,0.56,3.73
68,Guitar Hero: World Tour,Wii,Misc,Activision,2.33,0.97,0,0.35,3.65
69,Call of Duty: Ghosts,PS4,Shooter,Activision,1.78,1.42,0.05,0.38,3.63
70,Tom Clancy's The Division,PS4,Shooter,Ubisoft,1.28,1.61,0.15,0.57,3.61
71,Doom II: Hell on Earth,PC,Shooter,Virgin Interactive,2.05,1.4,0,0.16,3.61
72,Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,1.94,1.22,0.02,0.31,3.49
73,Assassin's Creed: Unity,XOne,Action,Ubisoft,2.26,0.89,0,0.3,3.46
74,Battlefield 4,PS4,Shooter,Electronic Arts,1.34,1.54,0.17,0.38,3.43
75,Metal Gear Solid V: The Phantom Pain,PS4,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38
76,Mario Party 9,Wii,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32
77,Assassin's Creed Syndicate,PS4,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
78,Destiny,XOne,Shooter,Activision,2.13,0.92,0,0.23,3.28
79,Wii Music,Wii,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27
80,FIFA 16,XOne,Sports,Electronic Arts,0.88,2.11,0,0.23,3.23
81,Madden NFL 16,PS4,Sports,Electronic Arts,2.33,0.3,0,0.59,3.22
82,LEGO Batman: The Videogame,Wii,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0,0.29,3.17
83,Halo: The Master Chief Collection,XOne,Shooter,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15
84,The Sims: Vacation,PC,Simulation,Electronic Arts,1.72,1.21,0,0.14,3.07
85,Epic Mickey,Wii,Platform,Disney Interactive Studios,2.06,0.64,0.12,0.22,3.04
86,Gears of War: Ultimate Edition,XOne,Shooter,Microsoft Game Studios,2.38,0.32,0,0.31,3
87,Middle-Earth: Shadow of Mordor,PS4,Action,Warner Bros. Interactive Entertainment,1.01,1.41,0.05,0.53,2.99
88,The Sims: Livin Large,PC,Misc,Electronic Arts,1.67,1.18,0,0.13,2.99
89,The Sims 4,PC,Simulation,Electronic Arts,0.96,1.72,0,0.29,2.97
90,Star Wars: The Old Republic,PC,Role-Playing,Electronic Arts,1.58,1.01,0,0.38,2.97
91,WarioWare: Smooth Moves,Wii,Puzzle,Nintendo,0.87,1.06,0.73,0.26,2.92
92,Cooking Mama: Cook Off,Wii,Simulation,505 Games,1.43,1.13,0.05,0.3,2.91
93,FIFA 14,PS4,Sports,Electronic Arts,0.61,1.85,0.11,0.33,2.9
94,Titanfall,XOne,Shooter,Electronic Arts,1.84,0.8,0.04,0.22,2.9
95,Zumba Fitness 2,Wii,Sports,Majesco Entertainment,1.54,1.07,0,0.28,2.88
96,Call of Duty: Ghosts,XOne,Shooter,Activision,1.87,0.77,0,0.22,2.86
97,Command & Conquer: Red Alert,PC,Strategy,Virgin Interactive,1.37,1.34,0,0.14,2.85
98,Skylanders: Spyro's Adventure,Wii,Action,Activision,1.4,1.14,0,0.31,2.85
99,Myst,PC,Adventure,Red Orb,0.02,2.79,0,0,2.81
100,Battlefield 3,PC,Shooter,Electronic Arts,0.89,1.43,0,0.48,2.79
101,inFAMOUS: Second Son,PS4,Action,Sony Computer Entertainment,1.27,0.97,0.07,0.47,2.78
102,Sonic and the Secret Rings,Wii,Platform,Sega,1.24,1.2,0.04,0.3,2.77
103,Assassin's Creed IV: Black Flag,PS4,Action,Ubisoft,1.07,1.31,0.06,0.31,2.74
104,Mortal Kombat X,PS4,Fighting,Warner Bros. Interactive Entertainment,1.47,0.76,0,0.47,2.7
105,Skylanders Giants,Wii,Action,Activision,1.56,0.88,0,0.22,2.65
106,Mario Strikers Charged,Wii,Sports,Nintendo,1.07,1.06,0.24,0.25,2.62
107,Super Mario All-Stars: Limited Edition,Wii,Platform,Nintendo,1.02,0.52,0.92,0.14,2.6
108,Killzone: Shadow Fall,PS4,Shooter,Sony Computer Entertainment,0.89,1.33,0.07,0.28,2.58
109,Deca Sports,Wii,Sports,Konami Digital Entertainment,1.13,0.87,0.29,0.25,2.54
110,Game Party,Wii,Misc,Midway Games,1.5,0.78,0,0.24,2.52
111,LEGO Harry Potter: Years 1-4,Wii,Action,Warner Bros. Interactive Entertainment,1.29,0.97,0,0.23,2.49
112,uDraw Studio,Wii,Misc,THQ,1.67,0.58,0,0.2,2.46
113,Riven: The Sequel to Myst,PC,Adventure,Red Orb,1.52,0.82,0,0.1,2.43
114,Minecraft,XOne,Misc,Microsoft Game Studios,1.43,0.76,0,0.22,2.41
115,Madden NFL 16,XOne,Sports,Electronic Arts,2.07,0.08,0,0.26,2.4
116,Theme Hospital,PC,Strategy,Electronic Arts,2.3,0.1,0,0,2.4
117,Need for Speed (2015),PS4,Racing,Electronic Arts,0.49,1.49,0.05,0.36,2.39
118,LEGO Indiana Jones: The Original Adventures,Wii,Action,LucasArts,1.54,0.63,0,0.22,2.39
119,Monopoly,PC,Misc,Hasbro Interactive,1.49,0.81,0,0.1,2.39
120,Bloodborne,PS4,Action,Sony Computer Entertainment,1,0.76,0.26,0.36,2.38
121,NBA 2K15,PS4,Sports,Take-Two Interactive,1.46,0.54,0.01,0.37,2.38
122,Half-Life 2,PC,Shooter,Vivendi Games,2.28,0.02,0.08,0,2.37
123,Skylanders SWAP Force,Wii,Platform,Activision,1.32,0.83,0,0.2,2.34
124,My Fitness Coach,Wii,Sports,Ubisoft,1.2,0.9,0,0.24,2.34
125,NBA 2K16,XOne,Sports,Take-Two Interactive,1.93,0.14,0,0.24,2.32
126,Just Dance Kids,Wii,Misc,Ubisoft,1.57,0.56,0,0.19,2.32
127,Guild Wars 2,PC,Action,NCSoft,0.95,1.06,0,0.29,2.3
128,Tomb Raider II,PC,Action,Eidos Interactive,0.91,1.25,0,0.13,2.29
129,Just Dance 2015,Wii,Misc,Ubisoft,1.11,0.98,0,0.2,2.28
130,Super Monkey Ball: Banana Blitz,Wii,Misc,Sega,1.07,0.92,0.04,0.24,2.27
131,Call of Duty 3,Wii,Shooter,Activision,1.19,0.84,0,0.23,2.26
132,Resident Evil 4,Wii,Action,Capcom,1.34,0.57,0.14,0.21,2.26
133,Monster Hunter Tri,Wii,Role-Playing,Nintendo,0.67,0.41,1.05,0.11,2.25
134,Assassin's Creed IV: Black Flag,XOne,Action,Ubisoft,1.47,0.55,0,0.19,2.21
135,Sonic Unleashed,Wii,Platform,Sega,1.28,0.68,0.02,0.21,2.2
136,Forza Motorsport 5,XOne,Racing,Microsoft Game Studios,1.21,0.78,0.01,0.17,2.18
137,The Sims: House Party,PC,Simulation,Electronic Arts,1.23,0.83,0,0.1,2.16
138,Your Shape featuring Jenny McCarthy,Wii,Sports,Ubisoft,1.51,0.47,0,0.18,2.16
139,Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,0.54,1.16,0.13,0.32,2.15
140,FIFA 15,XOne,Sports,Electronic Arts,0.6,1.41,0,0.14,2.15
141,SimCity 2000,PC,Simulation,Maxis,1.2,0.84,0,0.1,2.14
142,Far Cry: Primal,PS4,Action,Ubisoft,0.59,1.16,0.06,0.33,2.13
143,Kirby's Epic Yarn,Wii,Platform,Nintendo,1.47,0.09,0.45,0.11,2.12
144,Mario Sports Mix,Wii,Sports,Nintendo,0.9,0.45,0.63,0.13,2.11
145,Rock Band,Wii,Misc,MTV Games,1.35,0.56,0,0.2,2.11
146,Wipeout: The Game,Wii,Misc,Mindscape,1.97,0,0,0.12,2.09
147,Battlefield: Hardline,PS4,Shooter,Electronic Arts,0.7,0.93,0.14,0.32,2.09
148,World of Warcraft: Cataclysm,PC,Role-Playing,Activision,1.77,0.32,0,0,2.08
149,Dance Dance Revolution: Hottest Party,Wii,Simulation,Konami Digital Entertainment,1.36,0.52,0,0.2,2.08
150,Sim Theme Park,PC,Strategy,Electronic Arts,2.04,0.04,0,0,2.08
151,Warcraft: Orcs & Humans,PC,Strategy,Activision,0.89,1.08,0,0.11,2.08
152,Rayman Raving Rabbids: TV Party,Wii,Misc,Ubisoft,0.73,1.09,0,0.23,2.04
153,Madden NFL 15,PS4,Sports,Electronic Arts,1.53,0.25,0,0.25,2.03
154,Tom Clancy's The Division,XOne,Shooter,Ubisoft,1.2,0.62,0,0.18,2.01
155,DriveClub,PS4,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33,2
156,Battlefield 4,XOne,Shooter,Electronic Arts,1.25,0.58,0,0.16,1.98
157,Dragon Age: Inquisition,PS4,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97
158,Call of Duty: World at War,Wii,Shooter,Activision,1.2,0.59,0,0.19,1.97
159,Star Wars: Dark Forces,PC,Shooter,LucasArts,1.09,0.77,0,0.09,1.95
160,Who wants to be a millionaire,PC,Misc,Disney Interactive Studios,1.94,0,0,0,1.94
161,Mario Super Sluggers,Wii,Sports,Nintendo,1.51,0,0.29,0.12,1.93
162,Monopoly,Wii,Misc,Electronic Arts,0.87,0.85,0,0.2,1.92
163,The Sims: Makin' Magic,PC,Simulation,Electronic Arts,1.03,0.8,0,0.09,1.92
164,Toy Story Mania!,Wii,Misc,Disney Interactive Studios,1.06,0.67,0,0.18,1.92
165,Star Wars: The Force Unleashed,Wii,Action,LucasArts,1.14,0.57,0,0.19,1.91
166,Game Party 2,Wii,Misc,Midway Games,1.3,0.44,0,0.17,1.91
167,Destiny: The Taken King,PS4,Shooter,Activision,0.77,0.78,0.04,0.31,1.91
168,LEGO Star Wars III: The Clone Wars,Wii,Action,LucasArts,1.08,0.66,0,0.17,1.91
169,Need for Speed Rivals,PS4,Racing,Electronic Arts,0.73,0.91,0.03,0.22,1.89
170,LittleBigPlanet 3,PS4,Platform,Sony Computer Entertainment,0.64,0.92,0.01,0.29,1.86
171,GoldenEye 007 (2010),Wii,Action,Activision,0.85,0.71,0.13,0.16,1.86
172,Rayman Raving Rabbids 2,Wii,Misc,Ubisoft,0.83,0.82,0,0.2,1.85
173,World of Warcraft: Mists of Pandaria,PC,Role-Playing,Activision,0.84,0.76,0,0.23,1.83
174,Just Cause 3,PS4,Action,Square Enix,0.46,1.02,0.07,0.28,1.83
175,The Sims: Hot Date,PC,Simulation,Electronic Arts,1.81,0,0,0,1.82
176,Metroid Prime 3: Corruption,Wii,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82
177,The Evil Within,PS4,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81
