Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
178,High School Musical: Sing It!,Wii,Misc,Disney Interactive Studios,1.16,0.45,0,0.16,1.77
179,The Beatles: Rock Band,Wii,Misc,MTV Games,1.19,0.4,0,0.16,1.74
180,Forza Motorsport 6,XOne,Racing,Microsoft Game Studios,0.69,0.89,0.03,0.14,1.74
181,Sonic Colors,Wii,Platform,Sega,0.96,0.61,0.01,0.16,1.74
182,Diablo III,PS4,Role-Playing,Activision,0.49,0.88,0.06,0.3,1.74
183,Overwatch,PS4,Shooter,Activision,0.64,0.68,0.14,0.26,1.73
184,Disney Infinity,Wii,Action,Disney Interactive Studios,1.15,0.44,0,0.14,1.73
185,The Order: 1886,PS4,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.72
186,The Elder Scrolls Online,PS4,Role-Playing,Bethesda Softworks,0.66,0.78,0,0.28,1.72
187,Call of Duty: Modern Warfare 3,PC,Shooter,Activision,0.41,0.98,0,0.33,1.72
188,The Sims 3: Late Night Expansion Pack,PC,Simulation,Electronic Arts,0.59,0.87,0,0.25,1.71
189,Game Party 3,Wii,Puzzle,Warner Bros. Interactive Entertainment,1.43,0.16,0,0.12,1.71
190,Cabela's Big Game Hunter 2010,Wii,Sports,Activision Value,1.58,0,0,0.12,1.7
191,The Crew,PS4,Racing,Ubisoft,0.34,1.08,0.03,0.26,1.7
192,We Ski,Wii,Sports,Namco Bandai Games,0.99,0.42,0.14,0.15,1.7
193,Kirby's Return to Dreamland,Wii,Platform,Nintendo,0.62,0.21,0.79,0.08,1.7
194,NBA 2K15,XOne,Sports,Take-Two Interactive,1.36,0.18,0,0.15,1.69
195,Sid Meier's Civilization V,PC,Strategy,Take-Two Interactive,0.98,0.52,0,0.19,1.69
196,The Sims: Superstar,PC,Simulation,Electronic Arts,1.67,0,0,0,1.68
197,Star Wars The Clone Wars: Lightsaber Duels,Wii,Action,LucasArts,1.23,0.3,0,0.14,1.68
198,MySims,Wii,Simulation,Electronic Arts,0.91,0.55,0.04,0.17,1.68
199,Shaun White Snowboarding: Road Trip,Wii,Sports,Ubisoft,0.94,0.57,0,0.17,1.67
200,Big Beach Sports,Wii,Sports,THQ,0.45,1.02,0,0.2,1.67
201,Knack,PS4,Platform,Sony Computer Entertainment Europe,0.43,0.67,0.42,0.15,1.67
202,StarCraft II: Heart of the Swarm,PC,Strategy,Activision,0.82,0.65,0,0.19,1.67
203,Dying Light,PS4,Action,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66
204,Go Vacation,Wii,Misc,Namco Bandai Games,0.48,0.68,0.33,0.16,1.65
205,LEGO Pirates of the Caribbean: The Video Game,Wii,Action,Disney Interactive Studios,0.76,0.72,0,0.16,1.64
206,Until Dawn,PS4,Adventure,Sony Computer Entertainment Europe,0.44,0.89,0.05,0.25,1.64
207,Call of Duty: Black Ops,PC,Shooter,Activision,0.58,0.81,0,0.24,1.63
208,Pokemon Battle Revolution,Wii,Role-Playing,Nintendo,0.8,0.38,0.3,0.13,1.61
209,Far Cry 4,XOne,Shooter,Ubisoft,0.79,0.68,0.01,0.13,1.61
210,Dance Dance Revolution: Hottest Party 2,Wii,Simulation,Konami Digital Entertainment,0.95,0.48,0.01,0.15,1.6
211,No Man's Sky,PS4,Action,Hello Games,0.58,0.74,0.02,0.26,1.6
212,Diablo,PC,Role-Playing,Activision,0.01,1.58,0,0,1.59
213,Wolfenstein: The New Order,PS4,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58
214,Carnival Games: Mini Golf,Wii,Sports,Take-Two Interactive,0.87,0.56,0,0.15,1.58
215,Guitar Hero 5,Wii,Misc,Activision,0.94,0.49,0,0.15,1.58
216,Dark Souls III,PS4,Role-Playing,Namco Bandai Games,0.58,0.44,0.33,0.21,1.56
217,LEGO Marvel Super Heroes,PS4,Action,Warner Bros. Interactive Entertainment,0.59,0.75,0.01,0.21,1.56
218,Active Life: Outdoor Challenge,Wii,Sports,Atari,0.79,0.44,0.19,0.14,1.55
219,Watch Dogs,XOne,Action,Ubisoft,0.9,0.53,0,0.13,1.55
220,Command & Conquer: Tiberian Sun,PC,Strategy,Westwood Studios,1.55,0,0,0,1.55
221,Dead Rising 3,XOne,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12,1.54
222,Resident Evil: The Umbrella Chronicles,Wii,Action,Capcom,0.68,0.43,0.29,0.14,1.54
223,Warcraft III: The Frozen Throne,PC,Strategy,Activision,0.58,0.87,0,0.09,1.54
224,Call of Duty: Black Ops II,PC,Shooter,Activision,0.63,0.69,0,0.21,1.53
225,MySims Kingdom,Wii,Simulation,Electronic Arts,0.71,0.65,0.01,0.17,1.53
226,Call of Duty: Modern Warfare: Reflex Edition,Wii,Shooter,Activision,0.95,0.43,0,0.14,1.53
227,FIFA 17,XOne,Sports,Electronic Arts,0.17,1.26,0,0.1,1.53
228,Madden NFL 15,XOne,Sports,Electronic Arts,1.3,0.09,0,0.12,1.51
229,Sonic & Sega All-Stars Racing,Wii,Racing,Sega,0.65,0.71,0,0.15,1.51
230,Football Manager 2012,PC,Sports,Sega,0.02,1.16,0,0.34,1.51
231,Final Fantasy XIV: A Realm Reborn,PC,Role-Playing,Square Enix,0.86,0.48,0,0.17,1.5
232,Disney Sing It: Pop Hits,Wii,Misc,Disney Interactive Studios,1.08,0.28,0,0.13,1.49
233,The Sims 3,Wii,Simulation,Electronic Arts,0.61,0.73,0,0.15,1.49
234,New Play Control! Mario Power Tennis,Wii,Sports,Nintendo,0.37,0.69,0.28,0.14,1.48
235,The House of the Dead 2 & 3 Return,Wii,Shooter,Sega,0.78,0.5,0.03,0.15,1.47
236,LEGO Batman 2: DC Super Heroes,Wii,Action,Warner Bros. Interactive Entertainment,0.94,0.4,0,0.11,1.46
237,Batman: Arkham Knight,XOne,Action,Warner Bros. Interactive Entertainment,0.86,0.46,0,0.13,1.45
238,Anno 2070,PC,Strategy,Ubisoft,0,1.13,0,0.32,1.45
239,Smarty Pants,Wii,Misc,Electronic Arts,0.53,0.76,0,0.16,1.45
240,Hasbro Family Game Night,Wii,Puzzle,Electronic Arts,0.97,0.34,0,0.13,1.45
241,SimCity (2013),PC,Simulation,Electronic Arts,0.48,0.77,0,0.19,1.44
242,Rayman Raving Rabbids,Wii,Misc,Ubisoft,1.23,0.07,0.02,0.11,1.44
243,LEGO Indiana Jones 2: The Adventure Continues,Wii,Action,Activision,0.91,0.39,0,0.13,1.43
244,Tiger Woods PGA Tour 09 All-Play,Wii,Sports,Electronic Arts,0.81,0.48,0,0.14,1.43
245,Tomb Raider (2013),PS4,Action,Square Enix,0.47,0.64,0.06,0.25,1.41
246,Toy Story 3: The Video Game,Wii,Action,Disney Interactive Studios,0.64,0.63,0,0.14,1.41
247,Metroid: Other M,Wii,Action,Nintendo,0.87,0.31,0.13,0.1,1.41
248,Call of Duty: Black Ops,Wii,Shooter,Activision,0.82,0.47,0,0.12,1.4
249,Battlefield 4,PC,Shooter,Electronic Arts,0.38,0.86,0,0.16,1.4
250,Doom (2016),PS4,Shooter,Bethesda Softworks,0.49,0.66,0.02,0.22,1.39
251,Hannah Montana: Spotlight World Tour,Wii,Action,Disney Interactive Studios,0.87,0.38,0,0.13,1.39
252,Hasbro Family Game Night 2,Wii,Misc,Electronic Arts,0.71,0.53,0,0.13,1.38
253,Disney Princess: Enchanted Journey,Wii,Adventure,Disney Interactive Studios,1.24,0.04,0,0.09,1.38
254,Forza Horizon 2,XOne,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.09,1.37
255,Ryse: Son of Rome,XOne,Action,Microsoft Game Studios,0.82,0.42,0,0.11,1.36
256,LEGO Harry Potter: Years 5-7,Wii,Action,Warner Bros. Interactive Entertainment,0.76,0.47,0,0.13,1.36
257,Mortal Kombat X,XOne,Fighting,Warner Bros. Interactive Entertainment,1,0.21,0,0.13,1.35
258,Command & Conquer: Red Alert 2,PC,Strategy,Electronic Arts,1.32,0.02,0,0,1.34
259,NBA 2K14,PS4,Sports,Take-Two Interactive,0.89,0.31,0.01,0.12,1.33
260,Middle-Earth: Shadow of Mordor,XOne,Action,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32
261,World of Warcraft: Wrath of the Lich King,PC,Role-Playing,Activision,0.01,0.13,0,1.18,1.32
262,Deal or No Deal,Wii,Misc,Zoo Games,1.22,0,0,0.09,1.31
263,High School Musical 3: Senior Year DANCE!,Wii,Misc,Disney Interactive Studios,0.68,0.49,0,0.13,1.31
264,Gold's Gym: Cardio Workout,Wii,Sports,Ubisoft,1.11,0.04,0.06,0.09,1.31
265,EA Playground,Wii,Sports,Electronic Arts,0.69,0.48,0,0.13,1.3
266,EA Sports Active 2,Wii,Sports,Electronic Arts,0.78,0.4,0,0.11,1.3
267,Rise of the Tomb Raider,XOne,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3
268,Need for Speed Carbon,Wii,Racing,Electronic Arts,0.46,0.66,0.02,0.15,1.29
269,Tom Clancy's Rainbow Six: Siege,XOne,Shooter,Ubisoft,0.73,0.44,0,0.12,1.29
270,Guitar Hero: Aerosmith,Wii,Misc,Activision,1.04,0.14,0,0.1,1.29
271,Metal Gear Solid V: Ground Zeroes,PS4,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28
272,Assassin's Creed Syndicate,XOne,Action,Ubisoft,0.61,0.56,0,0.11,1.28
273,The Sims 2: Nightlife,PC,Simulation,Electronic Arts,1.22,0.05,0,0,1.27
274,The Elder Scrolls Online,XOne,Role-Playing,Bethesda Softworks,0.77,0.38,0,0.12,1.27
275,Jillian Michaels' Fitness Ultimatum 2009,Wii,Sports,Deep Silver,0.96,0.2,0,0.11,1.27
276,Rockstar Games presents Table Tennis,Wii,Sports,Take-Two Interactive,0.39,0.73,0,0.15,1.27
277,Football Manager 2011,PC,Sports,Sega,0,1.01,0,0.25,1.26
278,Championship Manager 03/04,PC,Sports,Eidos Interactive,0,1.15,0,0.11,1.26
279,Winter Sports: The Ultimate Challenge,Wii,Sports,RTL,0.45,0.68,0,0.12,1.26
280,RollerCoaster Tycoon 2,PC,Strategy,Atari,1.19,0.05,0,0,1.25
281,The Witcher 3: Wild Hunt,XOne,Role-Playing,Namco Bandai Games,0.66,0.47,0,0.11,1.24
282,Ben 10: Protector of Earth,Wii,Action,D3Publisher,0.55,0.55,0,0.13,1.23
283,Farming Simulator 2015,PC,Simulation,Focus Home Interactive,0.08,1.02,0,0.13,1.23
284,Madden NFL 17,PS4,Sports,Electronic Arts,0.92,0.08,0,0.23,1.23
285,Boom Blox,Wii,Puzzle,Electronic Arts,0.72,0.38,0,0.12,1.23
286,Fallout 4,PC,Role-Playing,Bethesda Softworks,0.5,0.63,0,0.1,1.23
287,The Sims 2: Castaway,Wii,Simulation,Electronic Arts,0.45,0.64,0,0.14,1.23
288,Just Dance 2016,Wii,Misc,Ubisoft,0.52,0.59,0,0.1,1.2
289,Disney Sing It,Wii,Misc,Disney Interactive Studios,0.77,0.31,0,0.12,1.2
290,Battlefield: Hardline,XOne,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2
291,WWE 2K16,PS4,Sports,Take-Two Interactive,0.41,0.6,0,0.19,1.2
292,PokéPark Wii: Pikachu's Adventure,Wii,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2
293,Pro Evolution Soccer 2008,Wii,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19
294,FIFA 14,XOne,Sports,Electronic Arts,0.41,0.66,0,0.12,1.19
295,NBA 2K17,PS4,Sports,Take-Two Interactive,0.83,0.14,0,0.22,1.19
296,Spore,PC,Strategy,Electronic Arts,0.03,1.06,0,0.09,1.17
297,Wario Land: Shake It!,Wii,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17
298,Ratchet & Clank (2016),PS4,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18,1.17
299,Football Manager 2013,PC,Sports,Sega,0,0.95,0,0.22,1.17
300,Destiny: The Taken King,XOne,Shooter,Activision,0.82,0.23,0,0.11,1.17
301,EA Sports Active: More Workouts,Wii,Sports,Electronic Arts,0.78,0.28,0,0.1,1.16
302,Fallout: New Vegas,PC,Role-Playing,Bethesda Softworks,0.58,0.45,0,0.14,1.16
303,Worldwide Soccer Manager 2009,PC,Simulation,Sega,0,1.14,0,0.01,1.15
304,Sonic and the Black Knight,Wii,Platform,Sega,0.69,0.35,0.01,0.11,1.15
305,Call of Duty 4: Modern Warfare,PC,Shooter,Activision,0,1.12,0,0.03,1.15
306,Rabbids Go Home,Wii,Platform,Ubisoft,0.26,0.75,0,0.14,1.14
307,WWE 2K15,PS4,Sports,Take-Two Interactive,0.38,0.56,0,0.19,1.13
308,Alien: Isolation,PS4,Shooter,Sega,0.34,0.56,0.04,0.19,1.13
309,Worldwide Soccer Manager 2008,PC,Sports,Russel,0,1.12,0,0,1.12
310,Mad Max (2015),PS4,Action,Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11
311,Sunset Overdrive,XOne,Shooter,Microsoft Game Studios,0.62,0.4,0,0.08,1.11
312,Need for Speed: ProStreet,Wii,Racing,Electronic Arts,0.54,0.46,0,0.12,1.11
313,NERF N-Strike,Wii,Shooter,Electronic Arts,0.92,0.09,0,0.09,1.1
314,Empire: Total War,PC,Strategy,Sega,0.01,0.97,0,0.11,1.09
315,Tiger Woods PGA Tour 10,Wii,Sports,Electronic Arts,0.61,0.37,0,0.11,1.09
316,Endless Ocean,Wii,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09
317,Grand Theft Auto V,PC,Action,Take-Two Interactive,0.36,0.64,0,0.08,1.08
318,The Biggest Loser,Wii,Sports,THQ,0.87,0.12,0,0.09,1.08
319,Resident Evil: The Darkside Chronicles,Wii,Action,Capcom,0.48,0.32,0.2,0.09,1.08
320,FIFA Soccer 11,Wii,Sports,Electronic Arts,0.26,0.69,0,0.12,1.08
321,Championship Manager 99/00,PC,Sports,Eidos Interactive,0,0.98,0,0.09,1.07
322,Disney Universe,Wii,Action,Disney Interactive Studios,0.67,0.3,0,0.1,1.07
323,Sega Superstars Tennis,Wii,Sports,Sega,0.28,0.65,0,0.13,1.06
324,Diablo II: Lord of Destruction,PC,Role-Playing,Vivendi Games,1.03,0.02,0,0,1.06
325,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Fighting,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06
326,Skylanders: Trap Team,Wii,Action,Activision,0.42,0.54,0,0.08,1.05
327,Dance on Broadway,Wii,Misc,Ubisoft,0.27,0.66,0,0.12,1.05
328,Dragon Ball: XenoVerse,PS4,Fighting,Namco Bandai Games,0.3,0.48,0.12,0.15,1.05
329,MySims Agents,Wii,Adventure,Electronic Arts,0.62,0.32,0,0.1,1.05
330,Guinness World Records: The Videogame,Wii,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0,0.11,1.04
331,Dragon Ball Z: Budokai Tenkaichi 3,Wii,Fighting,Atari,0.33,0.37,0.26,0.09,1.04
332,Project CARS,PS4,Racing,Slightly Mad Studios,0.17,0.69,0.02,0.15,1.04
333,LEGO Marvel Super Heroes,XOne,Action,Warner Bros. Interactive Entertainment,0.61,0.34,0,0.09,1.04
334,EA Sports UFC,PS4,Sports,Electronic Arts,0.46,0.4,0.01,0.17,1.04
335,Tiger Woods PGA Tour 08,Wii,Sports,Electronic Arts,0.94,0.02,0,0.08,1.03
336,Epic Mickey 2: The Power of Two,Wii,Action,Disney Interactive Studios,0.72,0.23,0,0.08,1.03
337,The Simpsons Game,Wii,Action,Electronic Arts,0.45,0.47,0,0.11,1.03
338,Tomb Raider,PC,Action,Eidos Interactive,0.96,0.07,0,0,1.03
339,Rock Band 2,Wii,Misc,MTV Games,0.94,0.01,0,0.08,1.03
340,FIFA Soccer 08,Wii,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02
341,Naruto: Clash of Ninja Revolution,Wii,Fighting,Tomy Corporation,0.45,0.46,0,0.11,1.02
342,Wall-E,Wii,Platform,THQ,0.51,0.4,0,0.11,1.02
343,Championship Manager 3,PC,Sports,Eidos Interactive,0,0.93,0,0.08,1.01
344,Guitar Hero: Warriors of Rock,Wii,Misc,Activision,0.48,0.44,0,0.09,1.01
345,Rayman Legends,PS4,Platform,Ubisoft,0.21,0.61,0,0.18,1.01
346,NERF N-Strike Elite,Wii,Shooter,Electronic Arts,0.93,0,0,0.07,1
347,Wheel of Fortune,Wii,Misc,THQ,0.89,0.04,0,0.06,1
